actual_kwp,pred_kwp,actual_batt_kwh,pred_batt_kwh
10.45,8.79,7.00,7.00
6.65,8.07,0.00,5.00
20.43,10.69,15.00,10.00
7.60,10.00,3.00,9.00
5.22,8.07,7.00,5.00
6.65,6.89,0.00,6.50
5.70,7.80,5.00,7.00
8.07,11.65,5.00,9.00
9.50,12.36,7.00,9.50
10.45,11.10,10.00,7.00
5.00,11.10,5.00,9.00
6.17,10.86,0.00,10.00
8.00,9.50,0.00,9.50
8.00,12.13,10.00,11.90
8.00,12.35,10.00,10.00
8.07,10.86,3.00,7.00
5.70,6.47,5.00,6.00
8.00,9.50,5.00,8.50
9.03,10.69,3.00,7.50
17.57,11.41,15.00,10.00
5.70,9.74,7.00,8.00
3.68,9.74,5.00,9.00
9.97,7.50,0.00,8.00
8.07,9.50,7.00,8.00
5.70,7.36,5.00,6.00
6.17,6.65,3.00,7.00
9.50,8.79,7.00,8.00
5.70,11.65,7.00,10.00
10.45,10.22,0.00,7.00
12.35,10.69,10.00,10.00
10.45,9.03,10.00,10.00
16.63,12.13,10.00,10.00
12.82,7.60,7.00,5.50
7.13,10.69,3.00,9.00
5.70,6.65,0.00,7.00
8.00,11.65,0.00,9.00
5.70,12.36,7.00,9.00
7.60,10.22,5.00,9.00
3.68,7.50,5.00,7.00
8.00,11.16,10.00,9.00
10.45,11.64,0.00,10.00
9.50,10.69,10.00,10.00
5.00,9.50,5.00,10.00
18.52,10.50,4.60,8.50
6.65,6.24,7.00,6.00
9.50,9.74,5.00,8.00
9.97,8.79,10.00,9.00
10.45,13.06,10.00,10.00
14.72,9.03,5.00,9.00
9.97,10.46,10.00,9.00
6.17,6.47,5.00,6.00
12.82,7.13,7.00,8.50
9.97,9.74,5.00,9.00
6.00,10.21,5.00,10.00
6.65,9.26,7.00,8.00
5.22,8.79,0.00,8.00
9.03,12.11,10.00,10.00
14.25,14.61,21.00,9.00
15.00,9.50,0.00,9.00
19.95,10.69,7.00,9.00
9.50,7.50,5.00,7.50
5.00,8.07,5.00,8.00
13.30,10.21,7.00,7.00
6.65,7.80,5.00,6.50
10.93,10.15,7.00,10.00
8.55,9.91,7.00,7.00
6.17,7.60,5.00,7.00
11.88,11.16,10.00,8.00
9.03,10.21,5.00,9.50
5.00,11.65,5.00,9.00
22.32,9.97,10.00,9.00
10.93,8.31,7.00,6.00
9.03,9.26,7.00,7.00
9.50,11.65,5.00,10.00
6.17,7.50,10.00,7.00
7.13,9.03,0.00,5.00
4.75,7.70,3.00,7.00
8.07,11.10,7.00,9.00
8.00,7.60,5.00,9.00
12.35,7.03,5.00,6.00
6.65,10.63,5.00,9.00
10.00,10.45,7.00,9.00
26.60,16.86,10.00,10.00
9.97,6.85,7.00,5.80
7.60,8.55,7.00,7.00
5.00,9.97,7.00,7.00
9.03,11.65,5.00,10.00
7.60,9.02,7.00,7.00
5.00,10.80,5.00,9.00
8.55,8.55,5.00,6.00
9.97,13.07,10.00,10.00
11.40,8.31,10.00,9.50
7.60,12.35,5.00,10.00
10.00,8.55,10.00,9.00
10.00,11.40,5.00,9.00
8.00,9.50,14.00,10.00
11.40,10.21,7.00,8.00
8.00,7.50,5.00,6.50
26.13,12.35,10.00,10.00
7.60,10.63,10.00,9.00
5.70,7.03,7.00,7.00
14.25,10.15,10.00,9.00
6.00,8.79,0.00,10.00
5.00,11.41,7.00,10.00
27.55,13.30,4.60,9.50
5.00,7.26,7.00,5.00
7.13,9.74,10.00,7.00
10.45,9.74,7.00,9.50
8.55,10.21,7.00,10.00
10.00,8.80,7.00,9.00
11.40,11.88,14.00,10.00
10.93,10.93,10.00,10.00
12.35,9.26,10.00,9.50
9.50,9.50,7.00,8.00
11.40,9.97,10.00,10.00
7.13,10.21,5.00,9.00
8.55,10.21,7.00,8.00
5.70,9.26,5.00,9.50
12.35,14.25,10.00,10.00
6.65,8.31,7.00,7.00
15.68,10.69,10.00,10.00
10.45,7.84,0.00,7.00
6.65,8.28,7.00,5.55
10.00,13.78,7.00,9.00
